"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"335","El Paso",172,44,"107","24","","0","0","2017-11-19"
"336","El Paso",200,39,"108","31","","0","0","2017-11-20"
"337","El Paso",233,61,"152","21","","0","0","2017-11-21"
"338","El Paso",200,72,"144","17","","0","0","2017-11-22"
"339","El Paso",228,50,"129","21","","0","0","2017-11-23"
"340","El Paso",256,44,"145","23","","0","0","2017-11-24"
"341","El Paso",256,72,"162","22","","0","0","2017-11-25"
"342","El Paso",244,61,"154","14","","0","0","2017-11-26"
"343","El Paso",261,61,"147","24","","0","0","2017-11-27"
"344","El Paso",250,100,"187","51","","0","0","2017-11-28"
"345","El Paso",172,44,"114","22","","0","0","2017-11-29"
"346","El Paso",211,67,"125","27","","0","0","2017-11-30"
"347","El Paso",194,83,"147","14","","0","0","2017-12-01"
"348","El Paso",217,94,"139","35","","0","0","2017-12-02"
"349","El Paso",233,83,"159","31","","0","0","2017-12-03"
"350","El Paso",217,117,"168","41","","0","0","2017-12-04"
"351","El Paso",128,78,"124","29","","0","0","2017-12-05"
"352","El Paso",78,22,"71","23","","48","0","2017-12-06"
"353","El Paso",39,-21,"29","38","","33","0","2017-12-07"
"354","El Paso",83,-43,"1","26","","0","0","2017-12-08"
"355","El Paso",128,-27,"34","13","","0","0","2017-12-09"
"356","Sanderson",211,189,"","33","","251","0","2017-09-30"
"357","Sanderson",289,189,"","26","","0","0","2017-10-01"
"358","Sanderson",244,189,"","25","","0","0","2017-10-02"
"359","Sanderson",294,228,"","53","","3","0","2017-10-04"
"360","Sanderson",294,217,"","45","","0","0","2017-10-05"
"361","Sanderson",317,206,"","31","","0","0","2017-10-06"
"362","Sanderson",306,200,"","42","","0","0","2017-10-07"
"363","Sanderson",339,161,"","38","","0","0","2017-10-08"
"364","Sanderson",344,183,"","29","","0","0","2017-10-09"
"365","Sanderson",217,133,"","60","","0","0","2017-10-10"
"366","Sanderson",250,144,"","31","","0","0","2017-10-11"
"367","Sanderson",294,144,"","30","","0","0","2017-10-12"
"368","Sanderson",311,178,"","39","","0","0","2017-10-13"
"369","Sanderson",322,183,"","24","","0","0","2017-10-14"
"370","Sanderson",222,117,"","59","","3","0","2017-10-15"
"371","Sanderson",239,106,"","28","","0","0","2017-10-16"
"372","Sanderson",261,78,"","26","","0","0","2017-10-17"
"373","Sanderson",267,106,"","33","","0","0","2017-10-18"
"374","Sanderson",267,128,"","43","","0","0","2017-10-19"
"375","Sanderson",272,161,"","37","","0","0","2017-10-20"
"376","Sanderson",311,167,"","26","","0","0","2017-10-21"
"377","Sanderson",261,122,"","36","","0","0","2017-10-22"
"378","Sanderson",328,89,"","35","","0","0","2017-10-23"
"379","Sanderson",233,117,"","38","","0","0","2017-10-24"
"380","Sanderson",250,67,"","24","","0","0","2017-10-25"
"381","Sanderson",344,78,"","40","","0","0","2017-10-26"
"382","Sanderson",183,94,"","66","","0","0","2017-10-27"
"383","Sanderson",178,17,"","19","","0","0","2017-10-28"
"384","Sanderson",250,39,"","26","","0","0","2017-10-29"
"385","Sanderson",294,50,"","41","","0","0","2017-10-30"
"386","Sanderson",178,72,"","35","","33","","2017-10-31"
"387","Sanderson",306,83,"","49","","0","0","2017-11-01"
"388","Sanderson",322,100,"","31","","0","0","2017-11-02"
"389","Sanderson",306,111,"","26","","0","0","2017-11-03"
"390","Sanderson",306,150,"","22","","0","0","2017-11-04"
"391","Sanderson",322,183,"","15","","0","0","2017-11-05"
"392","Sanderson",306,178,"","19","","0","0","2017-11-06"
"393","Sanderson",294,150,"","41","","0","0","2017-11-07"
"394","Sanderson",150,67,"","45","","8","","2017-11-08"
"395","Sanderson",161,72,"","15","","0","0","2017-11-09"
"396","Sanderson",144,72,"","33","","0","0","2017-11-10"
"397","Sanderson",228,122,"","27","","0","0","2017-11-11"
"398","Sanderson",217,150,"","40","","0","0","2017-11-12"
"399","Sanderson",233,150,"","38","","0","0","2017-11-13"
"400","Sanderson",278,167,"","28","","0","0","2017-11-14"
"401","Sanderson",267,128,"","32","","0","0","2017-11-15"
"402","Sanderson",250,106,"","24","","0","0","2017-11-16"
"403","Sanderson",283,106,"","26","","0","0","2017-11-17"
"404","Sanderson",283,94,"","53","","0","0","2017-11-18"
